client_id,segment,annual_demand_tons,priority,shipment_count,shipped_weight_kg,total_transport_cost_eur,avg_distance_km,avg_transit_hours,total_co2_kg,cluster,cluster_profile,recommendation
CLIENT053,Standard,188.63,1,11,29910.0,43179.32,9886.153636363637,160.01545454545453,29102.49,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT054,Standard,294.14,1,12,38055.0,22370.89,9599.883333333333,187.8025,14843.11,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT055,Industrial,278.97,3,7,13749.0,50489.26,4112.15,58.84428571428571,37956.66,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT056,Standard,336.35,2,9,10508.0,30939.26,4026.0733333333333,51.19888888888889,23271.91,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT057,Premium,162.71,1,9,35067.0,23244.3,9315.083333333334,211.5522222222222,11983.25,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT058,Standard,315.44,2,15,70495.0,37749.47,5759.750666666667,101.876,25333.21,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT059,Standard,490.5,1,10,38106.0,13263.66,3578.78,45.348,10183.51,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT060,Standard,269.03,2,11,29488.0,14622.48,4533.416363636364,71.85181818181819,12619.67,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT061,Standard,457.74,1,12,47183.0,20772.01,1981.185,38.156666666666666,15463.35,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT062,Standard,245.48,1,19,70160.0,144232.39,10479.721578947368,189.03157894736842,112455.79,2,High-activity customers / high costs,"Prioritize warehouse assignment optimization, shipment consolidation and the identification of cost-efficient routes."
CLIENT063,Standard,207.54,1,13,11550.0,10193.49,9597.828461538462,159.48615384615385,7839.41,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT064,Premium,340.3,1,9,33746.0,3271.1,2125.9244444444444,36.10444444444445,2939.57,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT065,Standard,351.02,1,8,33579.0,22072.6,8779.7425,194.645,17877.29,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT066,Standard,438.88,1,8,6644.0,34503.61,9459.75375,137.31,26079.03,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT067,Standard,153.58,1,10,40716.0,11240.09,4214.818,79.088,7943.71,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT068,Standard,274.64,1,5,19306.0,1781.84,1379.104,45.04,915.49,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT069,Standard,307.4,3,12,94368.0,52649.04,4201.095833333334,75.74333333333334,43556.53,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT070,Standard,395.85,1,7,9949.0,3470.48,2372.824285714286,41.392857142857146,3123.1,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT071,Standard,69.62,1,6,13550.0,6488.84,10471.233333333334,241.545,3267.82,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT072,Standard,497.55,2,8,31760.0,1416.95,2093.93,51.29125,709.76,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT073,Standard,261.48,2,7,26395.0,5311.21,3846.34,62.238571428571426,4688.7,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT074,Premium,175.8,1,10,17785.0,1395.78,1605.46,30.452,1202.3,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT075,Premium,447.57,1,12,29289.0,2931.87,916.0066666666667,21.808333333333334,2145.95,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT076,Standard,386.47,2,8,36205.0,75451.85,5057.965,56.68875,57135.65,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT077,Industrial,478.88,1,7,55777.0,29207.78,3124.884285714286,61.567142857142855,22025.15,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT078,Standard,198.84,3,8,17340.0,9995.52,5021.47375,89.58375,7368.37,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT079,Industrial,298.74,2,6,15845.0,8335.82,3635.2966666666666,91.73333333333333,4172.1,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT080,Standard,307.53,1,8,102573.0,253972.6,4565.785,77.94125,186920.69,2,High-activity customers / high costs,"Prioritize warehouse assignment optimization, shipment consolidation and the identification of cost-efficient routes."
CLIENT081,Standard,491.15,1,7,64357.0,41395.28,10236.281428571428,241.33857142857144,33422.24,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT082,Standard,83.91,3,7,23609.0,6508.05,1899.7828571428572,32.12714285714286,5298.65,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT083,Premium,187.56,1,4,21980.0,16612.1,4214.74,57.575,13968.89,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT084,Premium,135.91,1,8,35186.0,8539.55,2359.13375,23.67875,4845.81,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT085,Standard,170.81,2,8,34432.0,17168.68,8695.855,148.705,13627.25,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT086,Standard,268.38,2,15,21107.0,4689.04,2673.9013333333332,47.012,4091.89,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT087,Standard,217.71,3,10,80740.0,63657.35,9737.718,191.21,48495.58,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT088,Standard,227.61,3,9,71576.0,73587.93,8873.565555555555,172.02,65129.39,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT089,Standard,429.9,2,14,98623.0,69267.56,7922.828571428571,147.62928571428571,61459.59,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT090,Standard,468.51,2,20,65719.0,15375.9,2207.1725,47.202,11929.47,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT091,Standard,81.69,2,5,21400.0,136.9,2235.968,38.664,113.66,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT092,Premium,144.01,2,19,84028.0,30664.28,2430.455789473684,35.72,26952.45,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT093,Standard,352.01,1,11,57902.0,59865.51,10368.34090909091,172.65818181818182,43920.58,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT094,Industrial,211.39,1,8,52055.0,14775.79,5098.3275,87.835,8809.03,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT095,Standard,164.37,2,10,35055.0,34830.67,10123.722,153.998,28476.8,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT096,Premium,182.88,2,13,74175.0,91699.1,10050.664615384616,145.50538461538463,76797.79,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT097,Premium,195.15,2,9,54887.0,157420.13,10309.547777777778,114.53555555555556,126970.87,2,High-activity customers / high costs,"Prioritize warehouse assignment optimization, shipment consolidation and the identification of cost-efficient routes."
CLIENT098,Standard,431.9,2,7,30380.0,32418.61,9914.417142857143,175.78142857142856,28201.52,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT099,Standard,111.48,2,18,107521.0,70886.02,7996.865,145.86,50102.98,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT100,Premium,369.01,1,9,53011.0,32211.83,4411.038888888889,72.0988888888889,25511.41,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
